signal,signal-options,amplified-attenuated,subcategory,clean-or-no,secondary-category,unclean-percent,count-in-dataset,annotated-by-one,annotated-by-two,annotated-by-all,comment,ampf-att-clean,%-2-or-more,%-1-or-more,,
I provide,,amplified,certainty,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
stupid + NOUN,,amplified,intensifier,yes,NA,NA,2,2,0,0,,100.0,0.00,1.00,,Yes
such a,,amplified,intensifier,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
"in (any) way(,) shape or form",,amplified,generalization,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
in part,,attenuated,specification,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
minimum,,amplified,intensifier,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
not much,,attenuated,detensifier,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
see as,seen as,attenuated,detensifier,yes,NA,NA,2,2,0,0,,100.0,0.00,1.00,,Yes
not to seem,,attenuated,detensifier,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
somehow,,attenuated,detensifier,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
inevitable,,amplified,certainty,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
inherent,,amplified,intensifier,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
instantly,,amplified,intensifier,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
nowhere,,amplified,generalization,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
occasionally,,attenuated,specification,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
unavoidable,,amplified,certainty,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
perhaps,,attenuated,uncertainty,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
plenty,,amplified,intensifier,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
thus far,,attenuated,detensifier,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
". To me,",,attenuated,detensifier,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
seldom,,attenuated,specification,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
over and over again,,amplified,intensifier,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
or else,,amplified,intensifier,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
not that + adj,,attenuated,detensifier,yes,NA,NA,2,2,0,0,,100.0,0.00,1.00,,Yes
that I am aware of,,attenuated,specification,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
that sounds,,attenuated,detensifier,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
this + adj,,amplified,intensifier,yes,NA,NA,1,1,0,0,,100.0,0.00,1.00,,Yes
